location,BUK,BUK Registrace,BUK guest,Buben 2.4G,FRANCISCO,Internet_7811,Internet_BEF1,O2-Internet-173,O2-Internet-400,Telecom-51,UPC931A3F3,Vodafone-196E,Vodafone-6FC0,Vodafone-7F22,Vodafone-9CA0,Vodafone-BC9D,iPhone (Артём)
room,-80.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,-72.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,-70.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-87.0,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-83.0,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-13.0
room,unset,unset,-68.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,-69.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,-88.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,-81.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-92.0,unset,unset
room,unset,unset,unset,-69.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-14.0
room,unset,unset,unset,unset,unset,unset,unset,unset,-96.0,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,-69.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,-71.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,-71.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,-77.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-13.0
room,unset,unset,-79.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,-78.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,-81.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,-81.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-14.0
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-95.0,unset,unset,unset,unset
room,unset,unset,-79.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,-87.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,-70.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,-79.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-86.0,unset,unset
room,-74.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-15.0
room,unset,unset,-80.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,-78.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,-85.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,-83.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,-78.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-84.0,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-13.0
room,-73.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,-92.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,-74.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,-97.0,unset,unset,unset,unset,unset,unset,unset
room,unset,-75.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-13.0
room,unset,unset,-80.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-85.0,unset
room,-72.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,-72.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,-80.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,-87.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-13.0
room,unset,unset,-69.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,-72.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,-70.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,-70.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-13.0
room,unset,unset,-81.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,-86.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,-80.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,-79.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,-69.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-92.0,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-14.0
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-15.0
room,unset,unset,-75.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,-76.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,-76.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,-71.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-95.0,unset,unset,unset
room,unset,unset,unset,unset,unset,-88.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-90.0,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-90.0,unset,unset,unset,unset,unset
room,unset,unset,-70.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,-77.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,-76.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,-76.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-14.0
room,unset,unset,unset,-72.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,-78.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,-72.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,-84.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,-74.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-83.0,unset,unset
room,unset,unset,unset,unset,unset,-88.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-13.0
room,unset,unset,-78.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,-76.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,-86.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,-76.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,-78.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-85.0,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-13.0
room,unset,unset,-76.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,-81.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-14.0
room,unset,-74.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,-62.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,-73.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,-73.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,-84.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,-93.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-87.0,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-84.0,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-14.0
room,unset,unset,unset,unset,unset,-87.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,-74.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,-93.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,-93.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,-75.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-13.0
room,-85.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,-81.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,-85.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,-75.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,-83.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,-87.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-14.0
room,unset,unset,-79.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,-72.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,-66.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-14.0
room,unset,-72.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,-70.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,-73.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,-73.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,-85.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-87.0,unset,unset
room,unset,unset,unset,-72.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-13.0
room,unset,-65.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,-74.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,-74.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,-96.0,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-13.0
room,-74.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,-85.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,-79.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,-72.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,-74.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,-69.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-14.0
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-85.0,unset
room,unset,unset,-71.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,-65.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,-78.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,-76.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-14.0
room,unset,unset,-72.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,-72.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,-80.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,-81.0,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset
room,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,unset,-13.0
