location,BUK,BUK Registrace,BUK guest,Buben 2.4G,O2-Internet_9D7,Simon,iPhone (Артём)
third_right_kitchen,-81.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-47.0
third_right_kitchen,unset,unset,unset,-63.0,unset,unset,unset
third_right_kitchen,unset,unset,-80.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-71.0,unset
third_right_kitchen,unset,unset,unset,-71.0,unset,unset,unset
third_right_kitchen,-87.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-48.0
third_right_kitchen,unset,-63.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,-65.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-75.0,unset
third_right_kitchen,unset,unset,unset,-62.0,unset,unset,unset
third_right_kitchen,-70.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-46.0
third_right_kitchen,unset,-60.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,-58.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-74.0,unset
third_right_kitchen,unset,unset,-74.0,unset,unset,unset,unset
third_right_kitchen,-60.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-65.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-49.0
third_right_kitchen,unset,unset,unset,-74.0,unset,unset,unset
third_right_kitchen,unset,unset,-79.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-80.0,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-47.0
third_right_kitchen,-72.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-71.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,-65.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-77.0,unset
third_right_kitchen,unset,unset,-65.0,unset,unset,unset,unset
third_right_kitchen,-70.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-45.0
third_right_kitchen,unset,unset,unset,-73.0,unset,unset,unset
third_right_kitchen,-67.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-76.0,unset
third_right_kitchen,unset,unset,-69.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-47.0
third_right_kitchen,unset,-83.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,-82.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,-76.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-75.0,unset
third_right_kitchen,unset,unset,-57.0,unset,unset,unset,unset
third_right_kitchen,-74.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-78.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-51.0
third_right_kitchen,unset,unset,unset,-64.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-73.0,unset
third_right_kitchen,unset,unset,-60.0,unset,unset,unset,unset
third_right_kitchen,-64.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-78.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-44.0
third_right_kitchen,unset,unset,-81.0,unset,unset,unset,unset
third_right_kitchen,unset,-70.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-72.0,unset
third_right_kitchen,unset,unset,unset,-84.0,unset,unset,unset
third_right_kitchen,-79.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,-87.0,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-50.0
third_right_kitchen,unset,unset,unset,-83.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-75.0,unset
third_right_kitchen,unset,unset,-75.0,unset,unset,unset,unset
third_right_kitchen,-76.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-74.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-46.0
third_right_kitchen,unset,unset,unset,-80.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-79.0,unset
third_right_kitchen,unset,unset,-64.0,unset,unset,unset,unset
third_right_kitchen,-67.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-80.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-50.0
third_right_kitchen,unset,unset,unset,-85.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-75.0,unset
third_right_kitchen,unset,unset,-88.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-49.0
third_right_kitchen,unset,-87.0,unset,unset,unset,unset,unset
third_right_kitchen,-84.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,-81.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-78.0,unset
third_right_kitchen,unset,unset,-61.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-50.0
third_right_kitchen,unset,-62.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,-63.0,unset,unset,unset
third_right_kitchen,-65.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-79.0,unset
third_right_kitchen,unset,unset,-83.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-47.0
third_right_kitchen,unset,-70.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,-84.0,unset,unset,unset
third_right_kitchen,-66.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-78.0,unset
third_right_kitchen,unset,unset,-67.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-44.0
third_right_kitchen,unset,-95.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,-83.0,unset,unset,unset
third_right_kitchen,unset,unset,-64.0,unset,unset,unset,unset
third_right_kitchen,-64.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-70.0,unset
third_right_kitchen,unset,unset,unset,-63.0,unset,unset,unset
third_right_kitchen,unset,-60.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,-87.0,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-45.0
third_right_kitchen,unset,unset,-82.0,unset,unset,unset,unset
third_right_kitchen,-62.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-78.0,unset
third_right_kitchen,unset,unset,unset,-62.0,unset,unset,unset
third_right_kitchen,unset,-68.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,-80.0,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-44.0
third_right_kitchen,unset,-67.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-78.0,unset
third_right_kitchen,unset,unset,-78.0,unset,unset,unset,unset
third_right_kitchen,-67.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-32.0
third_right_kitchen,unset,unset,unset,-78.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,-86.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-74.0,unset
third_right_kitchen,unset,unset,-48.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-29.0
third_right_kitchen,unset,-68.0,unset,unset,unset,unset,unset
third_right_kitchen,-48.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,-66.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-77.0,unset
third_right_kitchen,unset,unset,-66.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-38.0
third_right_kitchen,-69.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-66.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,-61.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-73.0,unset
third_right_kitchen,unset,unset,-66.0,unset,unset,unset,unset
third_right_kitchen,-77.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-78.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-42.0
third_right_kitchen,unset,unset,-78.0,unset,unset,unset,unset
third_right_kitchen,unset,-77.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-77.0,unset
third_right_kitchen,-77.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,-78.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,-84.0,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-49.0
third_right_kitchen,unset,unset,unset,-64.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-74.0,unset
third_right_kitchen,unset,unset,-87.0,unset,unset,unset,unset
third_right_kitchen,-57.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-58.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-32.0
third_right_kitchen,unset,unset,unset,-59.0,unset,unset,unset
third_right_kitchen,unset,unset,-63.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-73.0,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-41.0
third_right_kitchen,-59.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-56.0,unset,unset,unset,unset,unset
third_right_kitchen,-84.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,-85.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-73.0,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-42.0
third_right_kitchen,unset,-84.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,-82.0,unset,unset,unset
third_right_kitchen,unset,unset,-62.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-75.0,unset
third_right_kitchen,unset,unset,unset,-61.0,unset,unset,unset
third_right_kitchen,-84.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-45.0
third_right_kitchen,unset,-83.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,-61.0,unset,unset,unset,unset
third_right_kitchen,-61.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-72.0,unset
third_right_kitchen,unset,unset,unset,-64.0,unset,unset,unset
third_right_kitchen,unset,-84.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,-84.0,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-44.0
third_right_kitchen,unset,unset,-68.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-70.0,unset
third_right_kitchen,unset,unset,unset,-68.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-34.0
third_right_kitchen,unset,-69.0,unset,unset,unset,unset,unset
third_right_kitchen,-68.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,-62.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-74.0,unset
third_right_kitchen,unset,unset,unset,-79.0,unset,unset,unset
third_right_kitchen,-85.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-82.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-33.0
third_right_kitchen,unset,unset,unset,-82.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-74.0,unset
third_right_kitchen,unset,unset,-85.0,unset,unset,unset,unset
third_right_kitchen,-82.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-85.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-34.0
third_right_kitchen,unset,unset,unset,-69.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-71.0,unset
third_right_kitchen,unset,unset,-75.0,unset,unset,unset,unset
third_right_kitchen,-63.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-75.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-42.0
third_right_kitchen,unset,unset,unset,-65.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-76.0,unset
third_right_kitchen,unset,unset,-65.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-43.0
third_right_kitchen,-66.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-65.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,-68.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-74.0,unset
third_right_kitchen,unset,unset,-84.0,unset,unset,unset,unset
third_right_kitchen,-64.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-80.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-45.0
third_right_kitchen,unset,unset,unset,-62.0,unset,unset,unset
third_right_kitchen,unset,unset,-62.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-76.0,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-40.0
third_right_kitchen,-61.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-74.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,-69.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-76.0,unset
third_right_kitchen,unset,unset,-73.0,unset,unset,unset,unset
third_right_kitchen,-76.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-75.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-42.0
third_right_kitchen,unset,unset,-65.0,unset,unset,unset,unset
third_right_kitchen,-57.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-72.0,unset
third_right_kitchen,unset,unset,unset,-87.0,unset,unset,unset
third_right_kitchen,unset,-87.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,-81.0,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-46.0
third_right_kitchen,unset,unset,-65.0,unset,unset,unset,unset
third_right_kitchen,-85.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-72.0,unset
third_right_kitchen,unset,unset,unset,-73.0,unset,unset,unset
third_right_kitchen,unset,-87.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,-79.0,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-44.0
third_right_kitchen,unset,unset,-69.0,unset,unset,unset,unset
third_right_kitchen,-79.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-70.0,unset
third_right_kitchen,unset,unset,unset,-79.0,unset,unset,unset
third_right_kitchen,unset,-58.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,-79.0,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-41.0
third_right_kitchen,-65.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-73.0,unset
third_right_kitchen,unset,unset,-75.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-41.0
third_right_kitchen,unset,-75.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,-72.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,-68.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-70.0,unset
third_right_kitchen,unset,unset,-57.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-43.0
third_right_kitchen,-60.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-58.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,-72.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-73.0,unset
third_right_kitchen,unset,unset,-72.0,unset,unset,unset,unset
third_right_kitchen,-62.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-76.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-45.0
third_right_kitchen,unset,unset,unset,-30.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-73.0,unset
third_right_kitchen,unset,unset,-83.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-47.0
third_right_kitchen,-80.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-80.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,-65.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-73.0,unset
third_right_kitchen,unset,unset,-66.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,-82.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-42.0
third_right_kitchen,-70.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,-73.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-72.0,unset
third_right_kitchen,unset,unset,-34.0,unset,unset,unset,unset
third_right_kitchen,-64.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-40.0
third_right_kitchen,unset,-77.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,-30.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-72.0,unset
third_right_kitchen,unset,unset,unset,-61.0,unset,unset,unset
third_right_kitchen,-77.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-40.0
third_right_kitchen,unset,-61.0,unset,unset,unset,unset,unset
third_right_kitchen,-73.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-74.0,unset
third_right_kitchen,unset,unset,-83.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-41.0
third_right_kitchen,unset,-85.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,-82.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,-67.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-73.0,unset
third_right_kitchen,unset,unset,-66.0,unset,unset,unset,unset
third_right_kitchen,-78.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-81.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-47.0
third_right_kitchen,unset,unset,unset,-77.0,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-75.0,unset
third_right_kitchen,unset,unset,-85.0,unset,unset,unset,unset
third_right_kitchen,-79.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-81.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-44.0
third_right_kitchen,unset,unset,-85.0,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,-72.0,unset
third_right_kitchen,unset,unset,unset,-85.0,unset,unset,unset
third_right_kitchen,-64.0,unset,unset,unset,unset,unset,unset
third_right_kitchen,unset,-62.0,unset,unset,unset,unset,unset
third_right_kitchen,unset,unset,unset,unset,unset,unset,-41.0
